'http://www.sciencedirect.com/science/article/pii/S0008622314009865', 'Large-scale synthesis of ordered mesoporous carbon fiber and its application as cathode material for lithium\\xe2\\x80\\x93sulfur batteries', 'Carbon', '2015 ', 'Elsevier', '1' , 'H Wang', 'C Zhang', 'Z Chen', 'HK Liu', '<a href="/citations?user=t7pJaWYAAAAJ&hl=es&oi=sra">Z Guo</a>'
'http://onlinelibrary.wiley.com/doi/10.1111/jace.13269/full', 'Detection of Different Interfaces in Percolated Networks of Antimony Tin Oxide: Borosilicate Glass Composites by Impedance Spectroscopy', 'Journal of the American Ceramic  …', '2015 ', 'Wiley Online Library', '1' , 'TL Pruyn', '<a href="/citations?user=J1WD2TwAAAAJ&hl=es&oi=sra">RA Gerhardt</a>'
'http://www.sciencedirect.com/science/article/pii/S0079670014000665', 'Electrical properties of polymer nanocomposites containing rod-like nanofillers', 'Progress in Polymer Science', '2015 ', 'Elsevier', '1' , 'RM Mutiso', 'KI Winey'
'http://pubs.acs.org/doi/abs/10.1021/am507376f', 'High capacity and high density functional <b>conductive polymer </b>and SiO anode for high-energy lithium-ion batteries', '  applied materials &  …', '2015 ', 'ACS Publications', 0 , 'H Zhao', 'N Yuca', 'Z Zheng', 'Y Fu… '
'http://onlinelibrary.wiley.com/doi/10.1002/pc.22931/full', 'Liquid\\xe2\\x80\\x90sensing behaviors of <b>carbon black</b>/polypropylene and carbon nanotubes/polypropylene composites: A comparative study', 'Polymer  …', '2015 ', 'Wiley Online Library', 0 , 'Y Li', 'K Dai', 'J Zhao', 'N Li', 'G Zheng', 'C Liu…'
'http://www.sciencedirect.com/science/article/pii/S0924424714004968', 'A flexible pressure-sensitive array based on soft substrate', 'Sensors and Actuators A:  …', '2015 ', 'Elsevier', 0 , 'H Mei', '<a href="/citations?user=CJbS6kAAAAAJ&hl=es&oi=sra">R Wang</a>', 'J Feng', 'Y Xia', 'T Zhang'
'http://www.sciencedirect.com/science/article/pii/S0167577X14019831', 'Temperature sensing of conductive shape memory polymer composites', 'Materials Letters', '2015 ', 'Elsevier', 0 , 'H Luo', 'Z Li', 'G Yi', 'Y Wang', 'X Zu', 'H Wang', 'H Huang…'
'http://www.sciencedirect.com/science/article/pii/S0969806X14003934', 'The effect of gamma irradiation on the thermal behavior of dielectric properties of linear low-density/<b>carbon black </b>semiconductive composites', 'Radiation Physics and  …', '2015 ', 'Elsevier', 0 , '<a href="/citations?user=2ue_DAMAAAAJ&hl=es&oi=sra">D Dudi\\xc4\\x87</a>', '<a href="/citations?user=iFoE104AAAAJ&hl=es&oi=sra">AS Luyt</a>', 'F Marinkovi\\xc4\\x87', 'I Petronijevi\\xc4\\x87…'
'http://www.tandfonline.com/doi/abs/10.1080/1536383X.2014.974090', 'Influence of Preparation Process on Morphology and Conductivity of <b>Carbon Black</b>-Based Electrospun Nanofibers', 'Fullerenes,  …', '2015 ', 'Taylor & Francis', 0 , 'E Tarasova', 'A Byzova', 'N Savest', 'M Viirsalu…'
'http://link.springer.com/article/10.1007/s10853-014-8716-z', 'Synergetic effects of carbon nanotubes and carbon fibers on electrical and self-heating properties of high-density polyethylene composites', 'Journal of Materials Science', '2015 ', 'Springer', 0 , 'P Tang', 'R Zhang', 'R Shi', 'Y Bin'
'http://www.sciencedirect.com/science/article/pii/S0008622315000330', 'Enhanced ion transport in polymer-ionic liquid electrolytes containing ionic liquid-functionalized nanostructured carbon materials', 'Carbon', '2015 ', 'Elsevier', 0 , 'YS Ye', 'H Wang', 'SG Bi', 'Y Xue', 'ZG Xue', 'YG Liao…'
'http://www.sciencedirect.com/science/article/pii/S0013468614026012', 'Interface polymerization synthesis of <b>conductive polymer</b>/graphite oxide@ sulfur composites for high-rate lithium-sulfur batteries', 'Electrochimica Acta', '2015 ', 'Elsevier', 0 , 'X Wang', 'Z Zhang', '<a href="/citations?user=XZV2eogAAAAJ&hl=es&oi=sra">X Yan</a>', 'Y Qu', 'Y Lai', 'J Li'
'http://pubs.rsc.org/en/content/articlehtml/2015/ta/c4ta05833j', 'Ionic semi-interpenetrating networks as a new approach for highly conductive and stretchable polymer materials', 'Journal of Materials  …', '2015 ', 'pubs.rsc.org', 0 , 'AS Shaplov', 'DO Ponkratov', 'PS Vlasov…'
'http://www.sciencedirect.com/science/article/pii/S0169433215000501', 'Corrosion Behavior of Modified Nano <b>Carbon Black</b>/Epoxy coating in Accelerated Conditions', 'Applied Surface  …', '2015 ', 'Elsevier', 0 , 'A Ghasemi-Kahrizsangi', 'H Shariatpanahi…'
'http://www.sciencedirect.com/science/article/pii/S0169131714004414', 'Delamination of organically modified montmorillonite for reducing the filler networking with <b>carbon black </b>in poly (1, 4-cis-isoprene) based nanocomposites', 'Applied Clay  …', '2015 ', 'Elsevier', 0 , 'M Galimberti', 'M Coombs', 'S Pandini', 'T Ricc\\xc3\\xb2…'
'http://www.sciencedirect.com/science/article/pii/S0167577X14022575', 'Preparation of the polypropylene/nickel coated glass fibers conductive composites with a low percolation threshold', 'Materials Letters', '2015 ', 'Elsevier', 0 , 'C Guo', 'H Duan', 'C Dong', 'G Zhao', 'Y Liu', 'Y Yang'
'http://www.freepatentsonline.com/y2015/0010846.html', 'ELECTRODE ASSEMBLY FOR SOLID POLYMER FUEL CELL', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'N Horibe'
'http://onlinelibrary.wiley.com/doi/10.1002/adma.201403880/full', 'A Mechanically Robust and Highly Ion\\xe2\\x80\\x90<b>Conductive Polymer</b>\\xe2\\x80\\x90Blend Coating for High\\xe2\\x80\\x90Power and Long\\xe2\\x80\\x90Life Lithium\\xe2\\x80\\x90Ion Battery Anodes', 'Advanced Materials', '2015 ', 'Wiley Online Library', 0 , '<a href="/citations?user=LpMTxmUAAAAJ&hl=es&oi=sra">FS Li</a>', 'YS Wu', 'J Chou', '<a href="/citations?user=XASuRMgAAAAJ&hl=es&oi=sra">M Winter</a>', 'NL Wu'
'http://onlinelibrary.wiley.com/doi/10.1002/mame.201400088/full', 'Melt Processing and Characterization of Bionanocomposites Made from Poly (butylene succinate) Bioplastic and <b>Carbon Black</b>', '  Materials and Engineering', '2015 ', 'Wiley Online Library', 0 , 'M Snowdon', '<a href="/citations?user=bAFBd0MAAAAJ&hl=es&oi=sra">AK Mohanty</a>… '
'http://shm.sagepub.com/content/14/1/100.short', 'Damage detection via electrical impedance tomography in glass fiber/epoxy laminates with <b>carbon black </b>filler', 'Structural Health  …', '2015 ', 'shm.sagepub.com', 0 , 'TN Tallman', 'S Gungor', 'KW Wang…'
'http://pubs.rsc.org/en/content/articlehtml/2015/ta/c4ta06511e', 'Free-standing Carbon Nanofiber Interlayer for High-performance Lithium-Sulfur Batteries', 'Journal of Materials  …', '2015 ', 'pubs.rsc.org', 0 , '<a href="/citations?user=x2YrS-wAAAAJ&hl=es&oi=sra">R Singhal</a>', 'SH Chung', 'A Manthiram…'
'http://www.freepatentsonline.com/y2015/0010827.html', 'POSITIVE ELECTRODE FOR RECHARGEABLE LITHIUM BATTERY AND RECHARGEABLE LITHIUM BATTERY INCLUDING SAME', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'H Kim', 'J Lee'
'http://onlinelibrary.wiley.com/doi/10.1002/app.41794/full', 'Effect of glass fiber on the electrical resistivities of polyoxymethylene/maleic anhydride\\xe2\\x80\\x90grafted polyethylene/multiwalled carbon nanotube composites', 'Journal of Applied  …', '2015 ', 'Wiley Online Library', 0 , 'BY Zhang', 'L Xu', 'ZX Guo', 'J Yu…'
'http://www.sciencedirect.com/science/article/pii/S1359835X14003418', 'Electrical properties of polyvinylidene fluoride (PVDF)/multi-walled carbon nanotube (MWCNT) semi-transparent composites: Modelling of DC conductivity', 'Composites Part A: Applied Science and  …', '2015 ', 'Elsevier', 0 , 'R Ram', '<a href="/citations?user=GVwXsiIAAAAJ&hl=es&oi=sra">M Rahaman</a>', 'D Khastgir'
'http://www.freepatentsonline.com/y2015/0024293.html', 'GAS DIFFUSION LAYER AND MEMBRANE ELECTRODE ASSEMBLY INCLUDING GAS DIFFUSION LAYER, AND METHOD OF REGENERATING MEMBRANE  …', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'K Noda'
'http://www.sciencedirect.com/science/article/pii/S0261306914008322', 'Manufacturing and characterization of bipolar fuel cell plate with textile reinforced polymer composites', 'Materials & Design', '2015 ', 'Elsevier', 0 , 'B Jiang', 'N St\\xc3\\xbcbler', '<a href="/citations?user=c-JdX4EAAAAJ&hl=es&oi=sra">W Wu</a>', 'Q Li', 'G Ziegmann…'
'http://www.sciencedirect.com/science/article/pii/S0266353814003819', 'High thermal conductivity of poly (vinylidene fluoride)/carbon nanotubes nanocomposites achieved by adding polyvinylpyrrolidone', ' Science and Technology', '2015 ', 'Elsevier', 0 , 'W Zhang', 'X Xu', 'J Yang', '<a href="/citations?user=MkAlvnUAAAAJ&hl=es&oi=sra">T Huang</a>', 'N Zhang… '
'http://link.springer.com/chapter/10.1007/978-3-319-10948-0_15', 'Organic Molecule Based Sensor for Aldehyde Detection', ' : Current Status and Future Trends III', '2015 ', 'Springer', 0 , 'AN Mallya', '<a href="/citations?user=v80nJf0AAAAJ&hl=es&oi=sra">PC Ramamurthy</a> '
'http://www.freepatentsonline.com/y2015/0010818.html', 'RECHARGEABLE LITHIUM BATTERY WITH CONTROLLED PARTICLE SIZE RATIO OF ACTIVATED CARBON TO POSITIVE ACTIVE MATERIAL', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'J An', 'S Ishida', 'J Son'
'http://www.freepatentsonline.com/y2015/0010810.html', 'ADDITIVE FOR ELECTROLYTE AND ELECTROLYTE AND LITHIUM SECONDARY BATTERY', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'I Cho', 'W Shin', 'S Han', 'S Kim', 'B Chung…'
'http://www.freepatentsonline.com/y2015/0017421.html', 'ELECTRICALLY CONDUCTIVE SYNTHETIC FIBER AND FIBROUS SUBSTRATE, METHOD OF MAKING, AND USE THEREOF', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'GA Sotzing'
'http://www.sciencedirect.com/science/article/pii/S0925400514011484', 'Conducting absorbent composite for parallel plate chemicapacitive microsensors with improved selectivity', 'Sensors and Actuators B:  …', '2015 ', 'Elsevier', 0 , 'S Dissanayake', 'C Vanlangenberg', '<a href="/citations?user=5aISgD8AAAAJ&hl=es&oi=sra">SV Patel</a>…'
'http://www.sciencedirect.com/science/article/pii/S0360319914027554', 'Characterization of ionic liquid added poly (vinyl alcohol)-based proton conducting polymer electrolytes and electrochemical studies on the supercapacitors', 'International Journal of Hydrogen Energy', '2015 ', 'Elsevier', 0 , 'CW Liew', '<a href="/citations?user=Xx64OREAAAAJ&hl=es&oi=sra">S Ramesh</a>', 'AK Arof'
'http://www.freepatentsonline.com/y2015/0024270.html', 'ELECTRON COLLECTOR STRUCTURE AND LITHIUM BATTERY CONTAINING THE SAME', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'H Park', 'S Kwon', 'D Park', 'J Choi', 'J Kim…'
'http://www.freepatentsonline.com/y2015/0008363.html', 'SOLID SOLUTION LITHIUM-CONTAINING TRANSITION METAL OXIDE AND LITHIUM ION SECONDARY BATTERY', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'T Kaburagi', 'A Ito', 'Y Osawa…'
'http://www.sciencedirect.com/science/article/pii/S2211285515000154', 'A new type of secondary Hybrid battery showing excellent performances', 'Nano Energy', '2015 ', 'Elsevier', 0 , 'Y Yin', 'C Liu', 'S Fan'
'http://www.sciencedirect.com/science/article/pii/S0263224114005090', 'Potential of adaptive neuro-fuzzy inference system for contact positions detection of sensing structure', 'Measurement', '2015 ', 'Elsevier', 0 , '<a href="/citations?user=Ng40n4AAAAAJ&hl=es&oi=sra">D Petkovi\\xc4\\x87</a>', 'M Issa', '<a href="/citations?user=KiSUtH8AAAAJ&hl=es&oi=sra">ND Pavlovi\\xc4\\x87</a>', 'L Zentner'
'http://www.freepatentsonline.com/y2015/0004489.html', 'POSITIVE ACTIVE MATERIAL FOR LITHIUM SECONDARY BATTERY AND METHOD OF PREPARING SAME', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'JH Song', 'YJ Kim', '<a href="/citations?user=gaBNmGgAAAAJ&hl=es&oi=sra">J Kim</a>', 'KJ Lee…'
'http://www.freepatentsonline.com/y2015/0004487.html', 'ELECTRODE AND SECONDARY BATTERY INCLUDING THE SAME', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'MH Lee', 'TJ Park', 'D Kim'
'http://www.freepatentsonline.com/y2015/0014583.html', 'SOLID SOLUTION LITHIUM-CONTAINING TRANSITION METAL OXIDE AND LITHIUM ION SECONDARY BATTERY', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'T Kaburagi', 'Y Osawa', 'A Ito'
'http://www.sciencedirect.com/science/article/pii/S1359835X14003698', 'Thermal conductivity of graphene nanoplatelets filled composites fabricated by solvent-free processing for the excellent filler dispersion and a theoretical approach for  …', 'Composites Part A: Applied Science and  …', '2015 ', 'Elsevier', 0 , 'SY Kim', 'YJ Noh', 'J Yu'
'http://link.springer.com/chapter/10.1007/978-3-319-08648-4_3', 'Dispersion of Carbon-Based Materials (CNTs, Graphene) in Polymer Matrices', 'Carbon for Sensing Devices', '2015 ', 'Springer', 0 , 'F Cesano', 'D Scarano'
'http://www.freepatentsonline.com/y2015/0004497.html', 'SECONDARY BATTERY ELECTRODE AND LITHIUM-ION SECONDARY BATTERY', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'I Uematsu', 'N Sakurai…'
'http://www.freepatentsonline.com/y2015/0017525.html', 'METHOD FOR PREPARING ELECTRODE ACTIVE MATERIAL FOR RECHARGEABLE LITHIUM BATTERY, ELECTRODE ACTIVE MATERIAL FOR RECHARGEABLE …', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'MR Lee', 'HY Lee', 'KM Lee'
'http://link.springer.com/chapter/10.1007/978-3-319-13875-6_9', 'Polymer/Nanographite Composites for Mechanical Impact Sensing', 'Graphene-Based Polymer Nanocomposites in  …', '2015 ', 'Springer', 0 , 'M Knite', 'A Linarts'
'http://www.sciencedirect.com/science/article/pii/S1359836814005186', 'Porous composites coated with hybrid nano carbon materials perform excellent electromagnetic interference shielding', 'Composites Part B:  …', '2015 ', 'Elsevier', 0 , 'YJ Chen', 'Y Li', 'BTT Chu', 'IT Kuo', 'M Yip', 'N Tai'
'http://www.freepatentsonline.com/y2015/0004453.html', 'CABLE-TYPE SECONDARY BATTERY', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'Y Kwon', 'H Jung', 'E Kim', 'J Kim…'
'http://www.freepatentsonline.com/y2015/0024249.html', 'RECHARGEABLE LITHIUM BATTERY AND METHOD OF PREPARING THE SAME', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'Y Lim', 'J Lee', 'I Byun', 'J Kim', 'C Hong…'
'http://link.springer.com/article/10.1007/s10854-015-2721-0', 'Thermoelectric behavior of poly (3, 4-ethylenedioxythiophene)/graphene composites depending on benzenesulfonate derivatives doped in polymer chains', 'Springer', '0000', ' M Kim, J Kim - Journal of Materials Science: Materials in Electronics - Springer', 0 , 'H Ju', 'M Kim', 'J Kim - Journal of Materials Science: Materials in Electronics'
'http://www.freepatentsonline.com/y2015/0017522.html', 'BIPOLAR ELECTRODE AND BIPOLAR LITHIUM-ION SECONDARY BATTERY USING SAME', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'K Miyatake', 'Y Shimoida…'
'http://www.sciencedirect.com/science/article/pii/S1359835X14003790', 'Self-repair of structural and functional composites with intrinsically self-healing polymer matrices: A review', 'Composites Part A: Applied Science and  …', '2015 ', 'Elsevier', 0 , 'N Zhong', 'W Post'
'http://onlinelibrary.wiley.com/doi/10.1002/tee.22075/full', 'Fundamental characteristics of a MEMS\\xe2\\x80\\x90diaphragm actuator using a thermal expansion drive composed of a <b>conductive polymer</b>', 'IEEJ Transactions on Electrical and  …', '2015 ', 'Wiley Online Library', 0 , 'S Imai', 'K Adachi'
'http://www.freepatentsonline.com/y2015/0010821.html', 'POSITIVE ELECTRODE ACTIVE MATERIAL FOR NON-AQUEOUS SECONDARY BATTERY AND NON-AQUEOUS LITHIUM SECONDARY BATTERY', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'Y Makimura', 'T Kobayashi…'
'http://www.freepatentsonline.com/y2015/0017531.html', 'BINDER COMPOSITION FOR RECHARGEABLE LITHIUM BATTERY, AND NEGATIVE ELECTRODE AND RECHARGEABLE LITHIUM BATTERY INCLUDING THE  …', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'B Chung', 'E Lee'
'http://onlinelibrary.wiley.com/doi/10.1002/mame.201400352/full', 'Electrified Polyolefin/Multiwall Carbon Nanotube Composites Exhibit Dramatic Changes in Electrical Conductivity, Permittivity, and Filler Structure', 'Macromolecular  …', '2015 ', 'Wiley Online Library', 0 , 'O Osazuwa', 'M Kontopoulou', 'RG Sabat…'
'http://www.freepatentsonline.com/y2015/0000425.html', 'SHEET PRESSURE SENSOR', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'H Miura', 'T Sunda', 'Y Fukuyama'
'http://www.sciencedirect.com/science/article/pii/S135983681400359X', 'Strain sensing in polymer/carbon nanotube composites by electrical resistance measurement', 'Composites Part B:  …', '2015 ', 'Elsevier', 0 , 'G Georgousis', '<a href="/citations?user=_lD1yrQAAAAJ&hl=es&oi=sra">C Pandis</a>', 'A Kalamiotis…'
'http://www.scirp.org/journal/PaperInformation.aspx?paperID=53359', 'Enhancement of the Electromagnetic Wave Shielding Effectiveness by Geometry-Controlled Carbon Coils', 'Journal of Materials Science and Chemical  …', '2015 ', 'scirp.org', 0 , 'GH Kang', '<a href="/citations?user=dQM6NLgAAAAJ&hl=es&oi=sra">SH Kim</a>', 'S Kim'
'http://www.freepatentsonline.com/y2015/0021185.html', 'CAPACITIVE DEIONIZATION APPARATUS AND METHODS OF TREATING FLUID USING THE SAME', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'DH Park', 'MD Cho', 'HR Kang', 'HS Kim…'
'http://www.freepatentsonline.com/y2015/0018200.html', 'Using Immiscible Liquid-Liquid Systems to Control the Dealloying of Non-Noble Metals From alloy Particles Containing Noble Metals', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'M Atwan', 'MK Carpenter'
'http://www.freepatentsonline.com/y2015/0017500.html', 'ELECTRODE FOR SECONDARY BATTERY, PREPARATION THEREOF, AND SECONDARY BATTERY AND CABLE-TYPE SECONDARY BATTERY COMPRISING  …', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'Y Kwon', 'H Jung', 'E Kim', 'J Kim…'
'http://www.sciencedirect.com/science/article/pii/S0008622315000433', 'A hierarchical carbon fiber/sulfur composite as cathode material for Li-S batteries', 'Carbon', '2015 ', 'Elsevier', 0 , 'F Wu', 'L Shi', 'D Mu', 'H Xu', 'B Wu'
'http://iopscience.iop.org/0957-4484/26/1/015705', 'Thermally conductive, electrically insulating and melt-processable polystyrene/boron nitride nanocomposites prepared by in situ reversible addition fragmentation  …', ' …', '2015 ', 'iopscience.iop.org', 0 , '<a href="/citations?user=6oVwfucAAAAJ&hl=es&oi=sra">X Huang</a>', 'S Wang', 'M Zhu', 'K Yang', 'P Jiang…'
'http://www.scientific.net/AMR.1064.62', 'The Synthesis of TiC Powders by Carbothermal Reduction Method in Vacuum', 'Advanced Materials  …', '2015 ', 'Trans Tech Publ', 0 , 'XT Ren', 'YC Liu', 'SH Chen', 'LG Hou…'
'http://iopscience.iop.org/0957-4484/26/2/025501', 'The influence of nanofiller alignment on transverse percolation and conductivity', 'Nanotechnology', '2015 ', 'iopscience.iop.org', 0 , 'TN Tallman', 'KW Wang'
'http://link.springer.com/chapter/10.1007/978-3-319-13875-6_13', 'Graphene Nanocomposites for Electromagnetic Induction Shielding', 'Graphene-Based Polymer Nanocomposites in  …', '2015 ', 'Springer', 0 , 'Y Li', 'W Zhai'
'http://www.freepatentsonline.com/y2015/0004496.html', 'LITHIUM-ION SECONDARY BATTERY', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'I Uematsu', 'N Hayamizu'
'http://www.freepatentsonline.com/y2015/0009606.html', 'CONDUCTIVE PASTE AND SOLID ELECTROLYTIC CAPACITOR INCLUDING THE SAME', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'K Mishima', 'A Nomura'
'http://www.freepatentsonline.com/y2015/0010823.html', 'POSITIVE ACTIVE MATERIAL FOR RECHARGEABLE LITHIUM BATTERY, METHOD OF PREPARING THE SAME, AND POSITIVE ELECTRODE FOR  …', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'B Yu', 'J Song', 'J Park', 'A Kapylou', 'C Kim…'
'http://www.sciencedirect.com/science/article/pii/S0008622314012263', 'Probing the engineered sandwich network of vertically aligned carbon nanotube\\xe2\\x80\\x93reduced graphene oxide composites for high performance electromagnetic  …', 'Carbon', '2015 ', 'Elsevier', 0 , '<a href="/citations?user=bL64zHUAAAAJ&hl=es&oi=sra">AP Singh</a>', 'M Mishra', '<a href="/citations?user=nVgb068AAAAJ&hl=es&oi=sra">DP Hashim</a>', '<a href="/citations?user=iFCMFaoAAAAJ&hl=es&oi=sra">TN Narayanan</a>…'
'http://www.freepatentsonline.com/y2015/0011051.html', 'Package Systems Having Interposers', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'Y Lin', 'J Lin', 'C Yu'
'http://onlinelibrary.wiley.com/doi/10.1002/app.41352/full', 'Effect of surfactant on EG dispersion in EVA and thermal and mechanical properties of the system', 'Journal of Applied Polymer  …', '2015 ', 'Wiley Online Library', 0 , 'SJ Sefadi', '<a href="/citations?user=iFoE104AAAAJ&hl=es&oi=sra">AS Luyt</a>', 'J Pionteck'
'http://onlinelibrary.wiley.com/doi/10.1002/adfm.201403275/full', 'Rational Design of a Printable, Highly Conductive Silicone\\xe2\\x80\\x90based Electrically Conductive Adhesive for Stretchable Radio\\xe2\\x80\\x90Frequency Antennas', 'Advanced Functional …', '2015 ', 'Wiley Online Library', 0 , 'Z Li', 'T Le', 'Z Wu', 'Y Yao', 'L Li', 'M Tentzeris…'
'http://www.freepatentsonline.com/y2015/0024279.html', 'SEMI-SOLID ELECTRODES WITH GEL POLYMER ADDITIVE', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'T Tan', 'N Ota', 'J Disko'
'http://www.freepatentsonline.com/y2015/0010815.html', 'BINDER COMPOSITION FOR RECHARGEABLE LITHIUM BATTERY, PREPARING METHOD OF SAME, AND RECHARGEABLE LITHIUM BATTERY INCLUDING  …', 'US Patent', '2015 ', 'freepatentsonline.com', 0 , 'B Chung', 'E Lee', 'S Kwon', 'J Kim', 'S Suh…'
'http://www.sciencedirect.com/science/article/pii/S0379677914004287', 'Alignment of polyaniline nanofibers on 3-D templates:\\xe2\\x80\\x9cHairy\\xe2\\x80\\x9d hollow microspheres as high-performance pseudocapacitive materials', 'Synthetic Metals', '2015 ', 'Elsevier', 0 , 'P Liu', 'C Yang', 'X Wang', 'J Guo', 'B Hou'
